x,y,u_numeric
0.010101,0.060606,-0.000709
0.020202,0.060606,-0.001418
0.030303,0.060606,-0.002127
0.040404,0.060606,-0.002837
0.050505,0.060606,-0.003548
0.060606,0.060606,-0.004259
0.070707,0.060606,-0.004971
0.080808,0.060606,-0.005684
0.090909,0.060606,-0.006399
0.101010,0.060606,-0.007115
0.111111,0.060606,-0.007832
0.121212,0.060606,-0.008551
0.131313,0.060606,-0.009271
0.141414,0.060606,-0.009993
0.151515,0.060606,-0.010717
0.161616,0.060606,-0.011442
0.171717,0.060606,-0.012169
0.181818,0.060606,-0.012898
0.191919,0.060606,-0.013629
0.202020,0.060606,-0.014362
0.212121,0.060606,-0.015096
0.222222,0.060606,-0.015832
0.232323,0.060606,-0.016569
0.242424,0.060606,-0.017307
0.252525,0.060606,-0.018047
0.262626,0.060606,-0.018787
0.272727,0.060606,-0.019528
0.282828,0.060606,-0.020270
0.292929,0.060606,-0.021012
0.303030,0.060606,-0.021754
0.313131,0.060606,-0.022495
0.323232,0.060606,-0.023235
0.333333,0.060606,-0.023974
0.343434,0.060606,-0.024711
0.353535,0.060606,-0.025446
0.363636,0.060606,-0.026177
0.373737,0.060606,-0.026906
0.383838,0.060606,-0.027630
0.393939,0.060606,-0.028349
0.404040,0.060606,-0.029063
0.414141,0.060606,-0.029771
0.424242,0.060606,-0.030471
0.434343,0.060606,-0.031164
0.444444,0.060606,-0.031847
0.454545,0.060606,-0.032521
0.464646,0.060606,-0.033183
0.474747,0.060606,-0.033834
0.484848,0.060606,-0.034472
0.494949,0.060606,-0.035095
0.505051,0.060606,-0.035703
0.515152,0.060606,-0.036293
0.525253,0.060606,-0.036866
0.535354,0.060606,-0.037419
0.545455,0.060606,-0.037950
0.555556,0.060606,-0.038459
0.565657,0.060606,-0.038943
0.575758,0.060606,-0.039401
0.585859,0.060606,-0.039832
0.595960,0.060606,-0.040232
0.606061,0.060606,-0.040601
0.616162,0.060606,-0.040937
0.626263,0.060606,-0.041236
0.636364,0.060606,-0.041498
0.646465,0.060606,-0.041720
0.656566,0.060606,-0.041899
0.666667,0.060606,-0.042034
0.676768,0.060606,-0.042121
0.686869,0.060606,-0.042159
0.696970,0.060606,-0.042144
0.707071,0.060606,-0.042074
0.717172,0.060606,-0.041947
0.727273,0.060606,-0.041758
0.737374,0.060606,-0.041505
0.747475,0.060606,-0.041185
0.757576,0.060606,-0.040796
0.767677,0.060606,-0.040332
0.777778,0.060606,-0.039792
0.787879,0.060606,-0.039171
0.797980,0.060606,-0.038466
0.808081,0.060606,-0.037673
0.818182,0.060606,-0.036788
0.828283,0.060606,-0.035807
0.838384,0.060606,-0.034727
0.848485,0.060606,-0.033543
0.858586,0.060606,-0.032250
0.868687,0.060606,-0.030844
0.878788,0.060606,-0.029321
0.888889,0.060606,-0.027676
0.898990,0.060606,-0.025903
0.909091,0.060606,-0.023998
0.919192,0.060606,-0.021956
0.929293,0.060606,-0.019771
0.939394,0.060606,-0.017438
0.949495,0.060606,-0.014951
0.959596,0.060606,-0.012305
0.969697,0.060606,-0.009492
0.979798,0.060606,-0.006509
0.989899,0.060606,-0.003347
1.000000,0.060606,0.000000
0.000000,0.070707,0.000000
0.010101,0.070707,-0.000827
0.020202,0.070707,-0.001655
0.030303,0.070707,-0.002483
0.040404,0.070707,-0.003312
0.050505,0.070707,-0.004141
0.060606,0.070707,-0.004971
0.070707,0.070707,-0.005802
0.080808,0.070707,-0.006635
0.090909,0.070707,-0.007469
0.101010,0.070707,-0.008304
0.111111,0.070707,-0.009141
0.121212,0.070707,-0.009980
0.131313,0.070707,-0.010821
0.141414,0.070707,-0.011664
0.151515,0.070707,-0.012508
0.161616,0.070707,-0.013355
0.171717,0.070707,-0.014204
0.181818,0.070707,-0.015055
0.191919,0.070707,-0.015907
0.202020,0.070707,-0.016762
0.212121,0.070707,-0.017619
0.222222,0.070707,-0.018478
0.232323,0.070707,-0.019338
0.242424,0.070707,-0.020200
0.252525,0.070707,-0.021063
0.262626,0.070707,-0.021927
0.272727,0.070707,-0.022792
0.282828,0.070707,-0.023657
0.292929,0.070707,-0.024523
0.303030,0.070707,-0.025388
0.313131,0.070707,-0.026253
0.323232,0.070707,-0.027117
0.333333,0.070707,-0.027979
0.343434,0.070707,-0.028838
0.353535,0.070707,-0.029696
0.363636,0.070707,-0.030549
0.373737,0.070707,-0.031399
0.383838,0.070707,-0.032244
0.393939,0.070707,-0.033083
0.404040,0.070707,-0.033916
0.414141,0.070707,-0.034741
0.424242,0.070707,-0.035558
0.434343,0.070707,-0.036366
0.444444,0.070707,-0.037163
0.454545,0.070707,-0.037949
0.464646,0.070707,-0.038722
0.474747,0.070707,-0.039481
0.484848,0.070707,-0.040224
0.494949,0.070707,-0.040951
0.505051,0.070707,-0.041659
0.515152,0.070707,-0.042348
0.525253,0.070707,-0.043016
0.535354,0.070707,-0.043660
0.545455,0.070707,-0.044280
0.555556,0.070707,-0.044873
0.565657,0.070707,-0.045438
0.575758,0.070707,-0.045972
0.585859,0.070707,-0.046474
0.595960,0.070707,-0.046940
0.606061,0.070707,-0.047370
0.616162,0.070707,-0.047761
0.626263,0.070707,-0.048110
0.636364,0.070707,-0.048415
0.646465,0.070707,-0.048673
0.656566,0.070707,-0.048882
0.666667,0.070707,-0.049038
0.676768,0.070707,-0.049140
0.686869,0.070707,-0.049183
0.696970,0.070707,-0.049165
0.707071,0.070707,-0.049083
0.717172,0.070707,-0.048934
0.727273,0.070707,-0.048713
0.737374,0.070707,-0.048417
0.747475,0.070707,-0.048044
0.757576,0.070707,-0.047589
0.767677,0.070707,-0.047047
0.777778,0.070707,-0.046416
0.787879,0.070707,-0.045691
0.797980,0.070707,-0.044868
0.808081,0.070707,-0.043943
0.818182,0.070707,-0.042910
0.828283,0.070707,-0.041766
0.838384,0.070707,-0.040506
0.848485,0.070707,-0.039124
0.858586,0.070707,-0.037615
0.868687,0.070707,-0.035975
0.878788,0.070707,-0.034198
0.888889,0.070707,-0.032279
0.898990,0.070707,-0.030211
0.909091,0.070707,-0.027989
0.919192,0.070707,-0.025607
0.929293,0.070707,-0.023058
0.939394,0.070707,-0.020337
0.949495,0.070707,-0.017437
0.959596,0.070707,-0.014350
0.969697,0.070707,-0.011070
0.979798,0.070707,-0.007590
0.989899,0.070707,-0.003903
1.000000,0.070707,0.000000
0.000000,0.080808,0.000000
0.010101,0.080808,-0.000946
0.020202,0.080808,-0.001893
0.030303,0.080808,-0.002839
0.040404,0.080808,-0.003787
0.050505,0.080808,-0.004735
0.060606,0.080808,-0.005684
0.070707,0.080808,-0.006635
0.080808,0.080808,-0.007587
0.090909,0.080808,-0.008540
0.101010,0.080808,-0.009496
0.111111,0.080808,-0.010453
0.121212,0.080808,-0.011412
0.131313,0.080808,-0.012373
0.141414,0.080808,-0.013337
0.151515,0.080808,-0.014303
0.161616,0.080808,-0.015271
0.171717,0.080808,-0.016241
0.181818,0.080808,-0.017214
0.191919,0.080808,-0.018189
0.202020,0.080808,-0.019166
0.212121,0.080808,-0.020146
0.222222,0.080808,-0.021127
0.232323,0.080808,-0.022111
0.242424,0.080808,-0.023096
0.252525,0.080808,-0.024082
0.262626,0.080808,-0.025070
0.272727,0.080808,-0.026059
0.282828,0.080808,-0.027048
0.292929,0.080808,-0.028037
0.303030,0.080808,-0.029027
0.313131,0.080808,-0.030015
0.323232,0.080808,-0.031002
0.333333,0.080808,-0.031987
0.343434,0.080808,-0.032970
0.353535,0.080808,-0.033950
0.363636,0.080808,-0.034925
0.373737,0.080808,-0.035896
0.383838,0.080808,-0.036862
0.393939,0.080808,-0.037821
0.404040,0.080808,-0.038772
0.414141,0.080808,-0.039715
0.424242,0.080808,-0.040649
0.434343,0.080808,-0.041572
0.444444,0.080808,-0.042483
0.454545,0.080808,-0.043380
0.464646,0.080808,-0.044263
0.474747,0.080808,-0.045130
0.484848,0.080808,-0.045980
0.494949,0.080808,-0.046810
0.505051,0.080808,-0.047619
0.515152,0.080808,-0.048406
0.525253,0.080808,-0.049168
0.535354,0.080808,-0.049904
0.545455,0.080808,-0.050612
0.555556,0.080808,-0.051289
0.565657,0.080808,-0.051934
0.575758,0.080808,-0.052544
0.585859,0.080808,-0.053116
0.595960,0.080808,-0.053649
0.606061,0.080808,-0.054140
0.616162,0.080808,-0.054586
0.626263,0.080808,-0.054984
0.636364,0.080808,-0.055332
0.646465,0.080808,-0.055626
0.656566,0.080808,-0.055864
0.666667,0.080808,-0.056042
0.676768,0.080808,-0.056157
0.686869,0.080808,-0.056206
0.696970,0.080808,-0.056185
0.707071,0.080808,-0.056090
0.717172,0.080808,-0.055918
0.727273,0.080808,-0.055665
0.737374,0.080808,-0.055327
0.747475,0.080808,-0.054899
0.757576,0.080808,-0.054378
0.767677,0.080808,-0.053759
0.777778,0.080808,-0.053037
0.787879,0.080808,-0.052208
